,pango_lin,Slope_gr,Slope_us,Slope_uk,Slope_as,ID1,ID2
0,BA.1vsBA.2,-0.00609000616246,-0.0147272669696564,-0.0037290020553517,-0.0054599621338392,BA.1,BA.2
1,BA.1vsBA.3,-0.0082906466226817,-0.0070593697814316,-0.0020406652833486,-0.041572291564362,BA.1,BA.3
2,BA.1vsBA.4,-0.0340060599341952,-0.0510881709364992,-0.0407621379406747,-0.0276941910127589,BA.1,BA.4
3,BA.1vsBA.5,-0.0342118340800101,-0.0551474509633924,-0.0497699850101334,-0.0407229058488534,BA.1,BA.5
4,BA.2vsBA.1,0.00609000616246,0.0147272669696564,0.0037290020553517,0.0054599621338392,BA.2,BA.1
5,BA.2vsBA.3,9.347218748016128e-05,0.012644158754857,0.0076351859508119,-0.0349730357035849,BA.2,BA.3
6,BA.2vsBA.4,-0.0303638835160927,-0.0328401732219955,-0.0359726454061335,-0.0229017029048079,BA.2,BA.4
7,BA.2vsBA.5,-0.0286593045940964,-0.0362910769047148,-0.0443261479296723,-0.0352941802167317,BA.2,BA.5
8,BA.3vsBA.1,0.0082906466226817,0.0070593697814316,0.0020406652833486,0.041572291564362,BA.3,BA.1
9,BA.3vsBA.2,-9.347218748016128e-05,-0.012644158754857,-0.0076351859508119,0.0349730357035849,BA.3,BA.2
10,BA.3vsBA.4,-0.0484818998169884,-0.0536425430181036,-0.1058757781694338,0.0162156106896454,BA.3,BA.4
11,BA.3vsBA.5,-0.0307953532635747,-0.050708131253817,-0.1173894768918705,-0.0251558941508116,BA.3,BA.5
12,BA.4vsBA.1,0.0340060599341952,0.0510881709364992,0.0407621379406747,0.0276941910127589,BA.4,BA.1
13,BA.4vsBA.2,0.0303638835160927,0.0328401732219955,0.0359726454061335,0.0229017029048079,BA.4,BA.2
14,BA.4vsBA.3,0.0484818998169884,0.0536425430181036,0.1058757781694338,-0.0162156106896454,BA.4,BA.3
15,BA.4vsBA.5,0.0024768741474455,-0.0031533037725528,-0.0070806794877297,-0.0154971825935883,BA.4,BA.5
16,BA.5vsBA.1,0.0342118340800101,0.0551474509633924,0.0497699850101334,0.0407229058488534,BA.5,BA.1
17,BA.5vsBA.2,0.0286593045940964,0.0362910769047148,0.0443261479296723,0.0352941802167317,BA.5,BA.2
18,BA.5vsBA.3,0.0307953532635747,0.050708131253817,0.1173894768918705,0.0251558941508115,BA.5,BA.3
19,BA.5vsBA.4,-0.0024768741474455,0.0031533037725528,0.0070806794877297,0.0154971825935883,BA.5,BA.4
