,BA.1,BA.2,BA.4,BA.5
BA.1,0.0,-0.010788625461042037,-0.051648978019948416,-0.048216789213609286
BA.2,0.010788625461042037,0.0,-0.04482750631237704,-0.03687677038093355
BA.4,0.051648978019948416,0.04482750631237704,0.0,-0.012871605666939618
BA.5,0.048216789213609286,0.03687677038093355,0.012871605666939618,0.0
