,BA.1,BA.2,BA.4,BA.5
BA.1,0.0,0.009285038687350785,0.037084250252547385,0.050725567661512976
BA.2,0.009285038687350785,0.0,0.028326038360778176,0.04125875810165245
BA.4,0.037084250252547385,0.028326038360778176,0.0,0.020083774830149552
BA.5,0.050725567661512976,0.04125875810165245,0.020083774830149552,0.0
