,BA.1,BA.2,BA.3,BA.4,BA.5
BA.1,0.0,-0.0054599621338392735,-0.041572291564362054,-0.02769419101275895,-0.0407229058488534
BA.2,0.0054599621338392735,0.0,-0.0349730357035849,-0.02290170290480792,-0.03529418021673173
BA.3,0.041572291564362054,0.0349730357035849,0.0,0.016215610689645468,-0.025155894150811573
BA.4,0.02769419101275895,0.02290170290480792,-0.016215610689645468,0.0,-0.015497182593588392
BA.5,0.0407229058488534,0.03529418021673173,0.025155894150811573,0.015497182593588392,0.0
