Alpha,Beta,Delta,Omicron
0.0,0.0028251706781546,0.0247597086304277,0.1096239565755812
0.0028251706781546,0.0,0.0219345379522731,0.1067987858974266
0.0247597086304277,0.0219345379522731,0.0,0.0848642479451535
0.1096239565755812,0.1067987858974266,0.0848642479451535,0.0
