Alpha,Beta,Delta,Omicron
0.0,0.014262934078508,0.0333416752162624,0.0971117654831266
0.014262934078508,0.0,0.0190787411377544,0.0828488314046186
0.0333416752162624,0.0190787411377544,0.0,0.0637700902668642
0.0971117654831266,0.0828488314046186,0.0637700902668642,0.0
