Alpha,Beta,Delta,Omicron
0.0,0.0076457129762286,0.014175843458868301,0.0890774021148347
0.0076457129762286,0.0,0.0065301304826397,0.0814316891386061
0.014175843458868301,0.0065301304826397,0.0,0.0749015586559664
0.0890774021148347,0.0814316891386061,0.0749015586559664,0.0
