Alpha,Beta,Delta,Omicron
0.0,0.0023125004986601,0.0084004240706355,0.017715214121905
0.0023125004986601,0.0,0.0060879235719754,0.0154027136232449
0.0084004240706355,0.0060879235719754,0.0,0.0093147900512695
0.017715214121905,0.0154027136232449,0.0093147900512695,0.0
