,GH,GK,GR,GRA
GH,0.0,-0.011068995183278503,-0.05609574966578846,-0.14802835475155443
GK,0.011068995183278503,0.0,-0.011130873299977275,-0.03119370396051674
GR,0.05609574966578846,0.011130873299977275,0.0,-0.03857379714616627
GRA,0.14802835475155443,0.03119370396051674,0.03857379714616627,0.0
