,GH,GK,GR,GRA
GH,0.0,0.0002998804069847856,0.00540179491593743,-0.08298383921248896
GK,-0.0002998804069847856,0.0,-1.6522749432827986e-05,-0.03459330938731381
GR,-0.00540179491593743,1.6522749432827986e-05,0.0,-0.03330239406731657
GRA,0.08298383921248896,0.03459330938731381,0.03330239406731657,0.0
