,GH,GK,GR,GRA,GRY
GH,0.0,0.0017879146553551304,0.003656269024351715,0.04087070380521703,0.018156135145211034
GK,0.0017879146553551304,0.0,0.004592881183625496,0.025765486037358277,0.0072333991100458255
GR,0.003656269024351715,0.004592881183625496,0.0,0.013754034017057043,0.03202364204989313
GRA,0.04087070380521703,0.025765486037358277,0.013754034017057043,0.0,0.13712027764754223
GRY,0.018156135145211034,0.0072333991100458255,0.03202364204989313,0.13712027764754223,0.0
