,Clade,Slope
0,GHvsGK,-0.007197060029701827
1,GHvsGR,-0.021155831447667982
2,GHvsGRA,-0.0763027705176043
3,GHvsGRY,-0.014350680396438838
4,GKvsGH,0.007197060029701827
5,GKvsGR,-0.013241194852472998
6,GKvsGRA,-0.01950523530070581
7,GKvsGRY,-0.01178027593638861
8,GRvsGH,0.021155831447667982
9,GRvsGK,0.013241194852472998
10,GRvsGRA,0.0007511224407868024
11,GRvsGRY,0.056527114955894305
12,GRAvsGH,0.07630277051760427
13,GRAvsGK,0.01950523530070581
14,GRAvsGR,-0.000751122440786809
15,GRAvsGRY,0.07790342631464003
16,GRYvsGH,0.014350680396438838
17,GRYvsGK,0.01178027593638861
18,GRYvsGR,-0.056527114955894305
19,GRYvsGRA,-0.07790342631464002
