,GH,GK,GR,GRA
GH,0.0,0.00966887415616647,0.024659444273769697,-0.04973900564556442
GK,-0.00966887415616647,0.0,0.00012643410785562575,-0.026750076827148517
GR,-0.024659444273769697,-0.00012643410785562575,0.0,-0.020841645850204683
GRA,0.04973900564556442,0.026750076827148517,0.020841645850204683,0.0
