,GH,GK,GR,GRA
GH,0.0,-0.005821770724668496,-0.020966424319010076,-0.10384403192373162
GK,0.005821770724668496,0.0,-0.011873161468985958,-0.03798535038944888
GR,0.020966424319010076,0.011873161468985958,0.0,-0.02093874358886743
GRA,0.10384403192373162,0.03798535038944888,0.02093874358886743,0.0
