,Clade,Slope
0,GHvsGK,0.0017879146553551304
1,GHvsGR,-0.003656269024351715
2,GHvsGRA,-0.040870703805217026
3,GHvsGRY,0.018156135145211034
4,GKvsGH,-0.0017879146553551304
5,GKvsGR,-0.004592881183625496
6,GKvsGRA,-0.025765486037358277
7,GKvsGRY,0.0072333991100458255
8,GRvsGH,0.003656269024351715
9,GRvsGK,0.004592881183625496
10,GRvsGRA,-0.013754034017057043
11,GRvsGRY,0.03202364204989313
12,GRAvsGH,0.04087070380521703
13,GRAvsGK,0.025765486037358277
14,GRAvsGR,0.013754034017057043
15,GRAvsGRY,0.13712027764754223
16,GRYvsGH,-0.018156135145211034
17,GRYvsGK,-0.0072333991100458255
18,GRYvsGR,-0.03202364204989313
19,GRYvsGRA,-0.13712027764754223
