,GH,GK,GR,GRA
GH,0.0,0.008576370517557762,0.013790071620873364,0.04728474557734634
GK,0.008576370517557762,0.0,0.005213701103315576,0.04556477574135657
GR,0.013790071620873364,0.005213701103315576,0.0,0.0520116773444386
GRA,0.04728474557734634,0.04556477574135657,0.0520116773444386,0.0
