,GH,GK,GR,GRA,GRY
GH,0.0,0.0021311013894418063,0.0022590989613936827,0.08104546858214375,0.02207662256567104
GK,0.0021311013894418063,0.0,0.00020691184049947161,0.07891436719270188,0.019170565839868734
GR,0.0022590989613936827,0.00020691184049947161,0.0,0.10776160140688001,0.014579998761137478
GRA,0.08104546858214375,0.07891436719270188,0.10776160140688001,0.0,0.0778818745361192
GRY,0.02207662256567104,0.019170565839868734,0.014579998761137478,0.0778818745361192,0.0
