,Alpha,Beta,Gamma,Delta,Omicron
Alpha,0.0,0.000642214861873968,0.0036862983373492186,0.009278486266631629,0.03546694540852433
Beta,0.000642214861873968,0.0,0.0036074650113841005,0.01251863746539225,0.11647566841623759
Gamma,0.0036862983373492186,0.0036074650113841005,0.0,0.009166572698441679,0.18225991740621314
Delta,0.009278486266631629,0.01251863746539225,0.009166572698441679,0.0,0.019176950453548114
Omicron,0.03546694540852433,0.11647566841623759,0.18225991740621314,0.019176950453548114,0.0
