,Alpha,Beta,Gamma,Delta,Omicron
Alpha,0.0,0.0010885683072772998,0.0038152545790116543,0.009913376357457395,0.06969486876892537
Beta,0.0010885683072772998,0.0,0.006640902463888883,0.012277695095135915,0.433451195973603
Gamma,0.0038152545790116543,0.006640902463888883,0.0,0.007180052382503735,0.1485834384799435
Delta,0.009913376357457395,0.012277695095135915,0.007180052382503735,0.0,0.022568217118879123
Omicron,0.06969486876892537,0.433451195973603,0.1485834384799435,0.022568217118879123,0.0
