,Alpha,Beta,Gamma,Delta,Omicron
Alpha,0.0,0.0024193297393824567,0.003148112469567016,0.009365813574817345,0.065401054551056
Beta,0.0024193297393824567,0.0,0.007046379900517875,0.013335971519369388,0.1925360618438301
Gamma,0.003148112469567016,0.007046379900517875,0.0,0.006999417140315306,0.10056456761490092
Delta,0.009365813574817345,0.013335971519369388,0.006999417140315306,0.0,0.021398201549101714
Omicron,0.065401054551056,0.1925360618438301,0.10056456761490092,0.021398201549101714,0.0
