,Alpha,Beta,Gamma,Delta,Omicron
Alpha,0.0,0.0010854461669116357,0.004743302225978113,0.015513444120182757,0.09020720293940514
Beta,0.0010854461669116357,0.0,0.005298356033336851,0.021349086236635128,0.24170153537652433
Gamma,0.004743302225978113,0.005298356033336851,0.0,0.015991390890056807,0.20051524025269798
Delta,0.015513444120182757,0.021349086236635128,0.015991390890056807,0.0,0.030480181234843504
Omicron,0.09020720293940514,0.24170153537652433,0.20051524025269798,0.030480181234843504,0.0
