,Omicron,Delta,Beta,Alpha
Omicron,0.0,0.02576344598452994,0.24253019158874245,0.13983811085790404
Delta,0.02576344598452994,0.0,0.01758355993290179,0.011062771322356186
Beta,0.24253019158874245,0.01758355993290179,0.0,0.0
Alpha,0.13983811085790404,0.011062771322356186,0.0,0.0
