,Omicron,Delta,Gamma
Omicron,0.0,0.027618280163895205,0.07070359459138349
Delta,-0.027618280163895205,0.0,-0.0005418652792593047
Gamma,-0.07070359459138349,0.0005418652792593047,0.0
