Clade,Date,Location,Freq
GH,2020-07-06/2020-07-12,North America,3435
GH,2020-07-06/2020-07-12,Oceania,16
GH,2020-07-06/2020-07-12,South America,44
GH,2020-07-13/2020-07-19,Africa,55
GH,2020-07-13/2020-07-19,Asia,112
GH,2020-07-13/2020-07-19,Europe,103
GH,2020-07-13/2020-07-19,North America,3212
GH,2020-07-13/2020-07-19,Oceania,17
GH,2020-07-13/2020-07-19,South America,54
GH,2020-07-20/2020-07-26,Africa,34
GH,2020-07-20/2020-07-26,Asia,119
GH,2020-07-20/2020-07-26,Europe,104
GH,2020-07-20/2020-07-26,North America,2688
GH,2020-07-20/2020-07-26,Oceania,4
GH,2020-07-20/2020-07-26,South America,33
GH,2020-07-27/2020-08-02,Africa,33
GH,2020-07-27/2020-08-02,Asia,282
GH,2020-07-27/2020-08-02,Europe,879
GH,2020-07-27/2020-08-02,North America,2382
GH,2020-07-27/2020-08-02,Oceania,2
GH,2020-07-27/2020-08-02,South America,39
GH,2020-08-03/2020-08-09,Africa,28
GH,2020-08-03/2020-08-09,Asia,147
GH,2020-08-03/2020-08-09,Europe,228
GH,2020-08-03/2020-08-09,North America,2021
GH,2020-08-03/2020-08-09,Oceania,5
GH,2020-08-03/2020-08-09,South America,37
GH,2020-08-10/2020-08-16,Africa,50
GH,2020-08-10/2020-08-16,Asia,176
GH,2020-08-10/2020-08-16,Europe,398
GH,2020-08-10/2020-08-16,North America,1594
GH,2020-08-10/2020-08-16,Oceania,5
GH,2020-08-10/2020-08-16,South America,58
GH,2020-08-17/2020-08-23,Africa,50
GH,2020-08-17/2020-08-23,Asia,173
GH,2020-08-17/2020-08-23,Europe,536
GH,2020-08-17/2020-08-23,North America,1495
GH,2020-08-17/2020-08-23,Oceania,2
GH,2020-08-17/2020-08-23,South America,47
GH,2020-08-24/2020-08-30,Africa,48
GH,2020-08-24/2020-08-30,Asia,179
GH,2020-08-24/2020-08-30,Europe,675
GH,2020-08-24/2020-08-30,North America,1754
GH,2020-08-24/2020-08-30,Oceania,13
GH,2020-08-24/2020-08-30,South America,55
GH,2020-08-31/2020-09-06,Africa,50
GH,2020-08-31/2020-09-06,Asia,216
GH,2020-08-31/2020-09-06,Europe,1366
GH,2020-08-31/2020-09-06,North America,1607
GH,2020-08-31/2020-09-06,Oceania,2
GH,2020-08-31/2020-09-06,South America,36
GH,2020-09-07/2020-09-13,Africa,53
GH,2020-09-07/2020-09-13,Asia,127
GH,2020-09-07/2020-09-13,Europe,1014
