,Omicron,Delta,Gamma,Beta,Alpha
Omicron,0.0,0.019176950453548114,0.18225991740621314,0.11647566841623759,0.03546694540852433
Delta,0.019176950453548114,0.0,0.009166572698441679,0.01251863746539225,0.009278486266631629
Gamma,0.18225991740621314,0.009166572698441679,0.0,0.003607465011384101,0.0036862983373492186
Beta,0.11647566841623759,0.01251863746539225,0.003607465011384101,0.0,0.000642214861873969
Alpha,0.03546694540852433,0.009278486266631629,0.0036862983373492186,0.000642214861873969,0.0
