Mixing Proportion,Slope,P-value,R²
0% USA + 100% Turkey,0.012456146647873005,0.0023997313348949703,0.5825946706936663
25% USA + 75% Turkey,0.02686843713571809,6.395450642117807e-07,0.9034576519016805
50% USA + 50% Turkey,0.030890864537486278,1.1823537885651325e-07,0.9288233597265594
75% USA + 25% Turkey,0.034923372955707514,2.954666771636538e-08,0.9446142454583845
100% USA + 0% Turkey,0.008644306530862478,2.613430858100564e-06,0.9797537185382076
